variant_base,doc_id,query_id,hit3_base,gold_pages_base,pred_pages_base,variant_fix12,hit3_fix12,gold_pages_fix12,pred_pages_fix12,delta_hit
baseline,Grampian-2024-2025,Q_2025_AE_01,0,[14],"[9, 35, 79]",fix12,0,[14],"[9, 15, 35]",0
baseline,Grampian-2024-2025,Q_2025_AE_02,1,[14],"[14, 15, 72]",fix12,1,[14],"[14, 15, 72]",0
baseline,Grampian-2024-2025,Q_2025_AE_03,1,[14],"[14, 15, 16]",fix12,1,[14],"[14, 15, 16]",0
baseline,Grampian-2024-2025,Q_2025_AE_04,1,[14],"[14, 15, 16]",fix12,1,[14],"[14, 15, 16]",0
baseline,Grampian-2024-2025,Q_2025_AE_P1,1,[14],"[14, 18, 93]",fix12,1,[14],"[14, 45, 93]",0
baseline,Grampian-2024-2025,Q_2025_DEL_01,1,[11],"[11, 13, 62]",fix12,1,[11],"[11, 12, 13]",0
baseline,Grampian-2024-2025,Q_2025_DEL_02,1,[11],"[11, 13, 16]",fix12,1,[11],"[11, 12, 13]",0
baseline,Grampian-2024-2025,Q_2025_DEL_03,1,[11],"[11, 13, 16]",fix12,1,[11],"[11, 12, 16]",0
baseline,Grampian-2024-2025,Q_2025_DEL_04,1,[11],"[11, 13, 16]",fix12,1,[11],"[11, 12, 16]",0
baseline,Grampian-2024-2025,Q_2025_DEL_P1,0,[7],"[11, 62, 74]",fix12,0,[7],"[11, 62, 74]",0
baseline,Grampian-2024-2025,Q_2025_STR_01,1,[7],"[7, 54, 62]",fix12,1,[7],"[7, 54, 62]",0
baseline,Grampian-2024-2025,Q_2025_ESC_01,1,[30],"[9, 29, 30]",fix12,1,[30],"[9, 29, 30]",0
baseline,Grampian-2024-2025,Q_2025_ESC_02,1,[4],"[4, 30]",fix12,1,[4],"[4, 30]",0
baseline,Grampian-2024-2025,Q_2025_ESC_P1,1,[4],"[4, 30]",fix12,1,[4],"[4, 30]",0
baseline,Grampian-2024-2025,Q_2025_ESC_P2,1,[30],"[4, 30]",fix12,1,[30],"[4, 30]",0
baseline,Grampian-2024-2025,Q_2025_PLAN_01,1,[30],"[30, 79]",fix12,1,[30],"[30, 79]",0
baseline,Grampian-2024-2025,Q_2025_GOPES_01,1,[65],"[9, 65]",fix12,1,[65],"[9, 65]",0
baseline,Grampian-2024-2025,Q_2025_FIN_10,1,[28],"[28, 33]",fix12,0,[28],"[33, 133, 168]",-1
baseline,Grampian-2024-2025,Q_2025_FIN_11,1,[33],"[25, 33, 74]",fix12,1,[33],"[25, 33, 133]",0
baseline,Grampian-2024-2025,Q_2025_FIN_12,1,[31],"[31, 82, 89]",fix12,1,[31],"[31, 45, 91]",0
baseline,Grampian-2024-2025,Q_2025_FIN_13,1,[32],"[32, 125, 148]",fix12,1,[32],"[32, 125, 148]",0
baseline,Grampian-2024-2025,Q_2025_GOV_01,1,[28],"[28, 29]",fix12,1,[28],"[28, 29]",0
baseline,Grampian-2024-2025,Q_2025_FIN_P3,1,[29],"[29, 62]",fix12,1,[29],"[29, 62]",0
baseline,Grampian-2024-2025,Q_2025_FIN_17,1,[33],"[25, 33, 74]",fix12,1,[33],"[25, 33, 133]",0
baseline,Grampian-2024-2025,Q_2025_FIN_18,1,[31],"[31, 82]",fix12,1,[31],"[31, 91]",0
baseline,Grampian-2024-2025,Q_2025_GOV_02,1,[11],"[11, 13, 62]",fix12,1,[11],"[11, 12, 62]",0
